TestNo,Username,Started.on,Completed,Time.taken,Grade.6.00,Q1_seed,Q1_problem,Q1_solution,Q1_mistakes,Q1_ans,Q1_validity,Q1_score,Q1_prt,Q2_seed,Q2_problem,Q2_solution,Q2_mistakes,Q2_ans,Q2_validity,Q2_score,Q2_prt,Q3_seed,Q3_problem,Q3_solution,Q3_mistakes,Q3_ans,Q3_validity,Q3_score,Q3_prt,Q4_seed,Q4_problem,Q4_solution,Q4_mistakes,Q4_ans,Q4_validity,Q4_score,Q4_prt,Q5_seed,Q5_problem,Q5_solution,Q5_mistakes,Q5_ans,Q5_validity,Q5_score,Q5_prt,Q6_seed,Q6_problem,Q6_solution,Q6_mistakes,Q6_ans,Q6_validity,Q6_score,Q6_prt,Q1_anticipate,Q2_anticipate,Q3_anticipate,Q4_anticipate,Q5_anticipate,Q6_anticipate
T1555,user529,10-10-22 17:17,10-10-22 17:45,28 mins 23 secs,4.0,398541,\(\int{\frac{10}{r}} d{a}\),10*log(abs(r))+c,\({10\cdot \ln \left( \left| r\right| \right)}\),10*log(|r|)+c,score,1,# = 1 | prt1-1-T,940994,\({{\left(6\cdot x+5\right)}^4}\),(1296*x^5)/5+1080*x^4+1800*x^3+1500*x^2+625*x+c,\({\frac{1296\cdot x^5}{5}+1080\cdot x^4+1800\cdot x^3+1500\cdot x^2+625\cdot x}\);\({\frac{5\cdot {\left(6\cdot x+5\right)}^5}{4}+c}\);\({\frac{5\cdot {\left(6\cdot x+5\right)}^5}{6}+c}\),(1296*x^5)/5+1080*x^4+1800*x^3+1500*x^2+625*x^1+625/6+c,score,1,# = 1 | ATInt_true. | prt1-1-T,1691941295,\(\int{x^{\frac{5}{4}}} dx\),(4*x^(9/4))/9+c,\({\frac{4\cdot x^{\frac{9}{4}}}{9}}\);\({x^{\frac{9}{4}}+c}\);\({\frac{5\cdot x^{\frac{1}{4}}}{4}}\);\({\frac{9\cdot x^{\frac{9}{4}}}{4}+c}\),(4*x^(9/4))/9+c,score,1.0,# = 1 | ATInt_true. | prt1-1-T,32085320,\(\int{\frac{3}{x^{\frac{5}{2}}}} dx\),c-2/x^(3/2),\({-\frac{2}{x^{\frac{3}{2}}}}\);\({-\frac{3}{x^{\frac{5}{2}}}}\);\({\frac{2}{x^{\frac{3}{2}}}+c}\);\({-\frac{15}{2\cdot x^{\frac{7}{2}}}}\),c-6*x^(-3/2)/3,score,1.0,# = 1 | ATInt_true. | prt1-1-T,939438,\(\int{{\left(4-6\cdot t\right)}^{11}} d{t}\),c-(4-6*t)^12/72,\({-66\cdot {\left(4-6\cdot t\right)}^{10}}\);\({\frac{u^{11}+1}{12}}\),5+c,score,0,# = 0 | prt1-1-F | prt1-2-F,930489,"\(\int{\frac{2\,x}{{\left(x^2-6\right)}^{\frac{1}{4}}}} dx\)",(4*(x^2-6)^(3/4))/3+c,"\({\frac{4\,{\left(x^2-6\right)}^{\frac{3}{4}}}{3}}\);\({\frac{u^5}{25}+c}\);\({\frac{2}{{\left(x^2-6\right)}^{\frac{1}{4}}}-\frac{x^2}{{\left(x^2-6\right)}^{\frac{5}{4}}}}\)",1,valid,0.0,!,-1,-1,-1,-1,0,0
T1556,user529,10-10-22 17:48,10-10-22 18:12,23 mins 40 secs,3.0,945171,\(\int{\frac{13}{t}} d{a}\),13*log(abs(t))+c,\({13\cdot \ln \left( \left| t\right| \right)}\),13*log(|t|)+c,score,1,# = 1 | prt1-1-T,274956,\({{\left(8\cdot x+5\right)}^6}\),(8*x+5)^7/56+c,\({\frac{{\left(8\cdot x+5\right)}^7}{56}}\);\({\frac{7\cdot {\left(8\cdot x+5\right)}^7}{6}+c}\);\({\frac{7\cdot {\left(8\cdot x+5\right)}^7}{8}+c}\),(2097152*x^7)/7+1310720*x^6+2457600*x^5+2560000*x^4+1600000*x^3+600000*x^2+125000*x+c,score,0,# = 0 | ATInt_generic. | prt1-1-F | ATInt_generic. | prt1-2-F | ATInt_generic. | prt1-3-F | ATInt_generic. | prt1-4-F | ATInt_generic. | prt1-5-F,624309187,\(\int{x^{\frac{5}{7}}} dx\),(7*x^(12/7))/12+c,\({\frac{7\cdot x^{\frac{12}{7}}}{12}}\);\({x^{\frac{12}{7}}+c}\);\({\frac{5}{7\cdot x^{\frac{2}{7}}}}\);\({\frac{12\cdot x^{\frac{12}{7}}}{7}+c}\),(7*x^(12/7))/12+c,score,1.0,# = 1 | ATInt_true. | prt1-1-T,1970119822,\(\int{\frac{10}{x^{\frac{3}{2}}}} dx\),c-20/sqrt(x),\({-\frac{20}{\sqrt{x}}}\);\({-\frac{10}{x^{\frac{3}{2}}}}\);\({\frac{20}{\sqrt{x}}+c}\);\({-\frac{15}{x^{\frac{5}{2}}}}\),c-20*x^(-1/2)+c,score,1.0,# = 1 | ATInt_true. | prt1-1-T,235049,\(\int{{\left(2\cdot t+2\right)}^{12}} d{t}\),(2*t+2)^13/26+c,\({24\cdot {\left(2\cdot t+2\right)}^{11}}\);\({\frac{u^{12}+1}{13}}\),5+c,score,0,# = 0 | prt1-1-F | prt1-2-F,128448,"\(\int{\frac{2\,x}{{\left(x^2-2\right)}^{\frac{1}{3}}}} dx\)",(3*(x^2-2)^(2/3))/2+c,"\({\frac{3\,{\left(x^2-2\right)}^{\frac{2}{3}}}{2}}\);\({\frac{u^4}{16}+c}\);\({\frac{2}{{\left(x^2-2\right)}^{\frac{1}{3}}}-\frac{4\,x^2}{3\,{\left(x^2-2\right)}^{\frac{4}{3}}}}\)",x+ c,valid,0.0,!,-1,0,-1,-1,0,0
T1557,user529,10-10-22 18:15,10-10-22 18:37,22 mins 15 secs,4.0,501828,\(\int{\frac{8}{t}} d{a}\),8*log(abs(t))+c,\({8\cdot \ln \left( \left| t\right| \right)}\),8*log(|t|)+c,score,1,# = 1 | prt1-1-T,138144,\({{\left(5\cdot x+7\right)}^2}\),(25*x^3)/3+35*x^2+49*x+c,\({\frac{25\cdot x^3}{3}+35\cdot x^2+49\cdot x}\);\({\frac{3\cdot {\left(5\cdot x+7\right)}^3}{2}+c}\);\({\frac{3\cdot {\left(5\cdot x+7\right)}^3}{5}+c}\),(25*x^3)/3+35*x^2+49*x+c,score,1,# = 1 | ATInt_true. | prt1-1-T,768422873,\(\int{x^{\frac{3}{2}}} dx\),(2*x^(5/2))/5+c,\({\frac{2\cdot x^{\frac{5}{2}}}{5}}\);\({x^{\frac{5}{2}}+c}\);\({\frac{3\cdot \sqrt{x}}{2}}\);\({\frac{5\cdot x^{\frac{5}{2}}}{2}+c}\),(5*x^(8/5))/8+c,score,0.0,# = 0 | ATInt_generic. | prt1-1-F | prt1-2-F | prt1-3-F | prt1-4-F | prt1-5-F,1985689564,\(\int{\frac{8}{x^{\frac{5}{2}}}} dx\),c-16/(3*x^(3/2)),\({-\frac{16}{3\cdot x^{\frac{3}{2}}}}\);\({-\frac{8}{x^{\frac{5}{2}}}}\);\({\frac{16}{3\cdot x^{\frac{3}{2}}}+c}\);\({-\frac{20}{x^{\frac{7}{2}}}}\),c-16*x^(-3/2)/3,score,1.0,# = 1 | ATInt_true. | prt1-1-T,847074,\(\int{{\left(8\cdot z+2\right)}^{12}} d{z}\),(8*z+2)^13/104+c,\({96\cdot {\left(8\cdot z+2\right)}^{11}}\);\({\frac{u^{12}+1}{13}}\),((8*z+2)^13)/104+c,score,1,# = 1 | prt1-1-T,108114,"\(\int{\frac{9\,x}{{\left(x^2-4\right)}^{\frac{1}{9}}}} dx\)",(81*(x^2-4)^(8/9))/16+c,"\({\frac{81\,{\left(x^2-4\right)}^{\frac{8}{9}}}{16}}\);\({\frac{u^{10}}{100}+c}\);\({\frac{9}{{\left(x^2-4\right)}^{\frac{1}{9}}}-\frac{2\,x^2}{{\left(x^2-4\right)}^{\frac{10}{9}}}}\)",5*x + c,score,0.0,# = 0 | ATInt_generic. | prt1-1-F | prt1-2-F,-1,-1,0,-1,-1,0
T1558,user529,10-10-22 18:40,10-10-22 19:13,33 mins 20 secs,3.0,570688,\(\int{\frac{5}{y}} d{a}\),5*log(abs(y))+c,\({5\cdot \ln \left( \left| y\right| \right)}\),5*log(|y|)+c,score,1,# = 1 | prt1-1-T,207381,\({{\left(3\cdot x+4\right)}^4}\),(81*x^5)/5+108*x^4+288*x^3+384*x^2+256*x+c,\({\frac{81\cdot x^5}{5}+108\cdot x^4+288\cdot x^3+384\cdot x^2+256\cdot x}\);\({\frac{5\cdot {\left(3\cdot x+4\right)}^5}{4}+c}\);\({\frac{5\cdot {\left(3\cdot x+4\right)}^5}{3}+c}\),(81*x^5)/5+408*x^4+288*x^3+384*x^2+256*x+c,score,0,# = 0 | ATInt_generic. | prt1-1-F | ATInt_generic. | prt1-2-F | ATInt_generic. | prt1-3-F | ATInt_generic. | prt1-4-F | ATInt_generic. | prt1-5-F,677736740,\(\int{x^{\frac{8}{5}}} dx\),(5*x^(13/5))/13+c,\({\frac{5\cdot x^{\frac{13}{5}}}{13}}\);\({x^{\frac{13}{5}}+c}\);\({\frac{8\cdot x^{\frac{3}{5}}}{5}}\);\({\frac{13\cdot x^{\frac{13}{5}}}{5}+c}\),(5*x^(13/5))/13+c,score,1.0,# = 1 | ATInt_true. | prt1-1-T,361454145,\(\int{\frac{4}{x^{\frac{9}{2}}}} dx\),c-8/(7*x^(7/2)),\({-\frac{8}{7\cdot x^{\frac{7}{2}}}}\);\({-\frac{4}{x^{\frac{9}{2}}}}\);\({\frac{8}{7\cdot x^{\frac{7}{2}}}+c}\);\({-\frac{18}{x^{\frac{11}{2}}}}\),c-8*x^(-7/2)/7,score,1.0,# = 1 | ATInt_true. | prt1-1-T,405701,\(\int{{\left(3-z\right)}^{16}} d{z}\),c-(3-z)^17/17,\({-16\cdot {\left(3-z\right)}^{15}}\);\({\frac{u^{16}+1}{17}}\),c-(3-z^17)/17,score,0,# = 0 | prt1-1-F | prt1-2-F,354906,"\(\int{\frac{7\,x}{{\left(x^2-3\right)}^{\frac{1}{10}}}} dx\)",(35*(x^2-3)^(9/10))/9+c,"\({\frac{35\,{\left(x^2-3\right)}^{\frac{9}{10}}}{9}}\);\({\frac{u^{11}}{121}+c}\);\({\frac{7}{{\left(x^2-3\right)}^{\frac{1}{10}}}-\frac{7\,x^2}{5\,{\left(x^2-3\right)}^{\frac{11}{10}}}}\)",2*x+ c,score,0.0,# = 0 | ATInt_generic. | prt1-1-F | prt1-2-F,-1,0,-1,-1,0,0
T1559,user529,10-11-22 6:58,10-11-22 8:29,1 hour 31 mins,4.0,235625,\(\int{\frac{15}{y}} d{a}\),15*log(abs(y))+c,\({15\cdot \ln \left( \left| y\right| \right)}\),5*log(|y|)+c,score,0,# = 0 | prt1-1-F | prt1-2-F,194729,\({{\left(6\cdot x+1\right)}^2}\),12*x^3+6*x^2+x+c,\({12\cdot x^3+6\cdot x^2+x}\);\({\frac{3\cdot {\left(6\cdot x+1\right)}^3}{2}+c}\);\({\frac{{\left(6\cdot x+1\right)}^3}{2}+c}\),12*x^3+16*x^2+x+c,score,0,# = 0 | ATInt_generic. | prt1-1-F | ATInt_generic. | prt1-2-F | ATInt_generic. | prt1-3-F | ATInt_generic. | prt1-4-F | ATInt_generic. | prt1-5-F,1555263758,\(\int{x^{\frac{7}{2}}} dx\),(2*x^(9/2))/9+c,\({\frac{2\cdot x^{\frac{9}{2}}}{9}}\);\({x^{\frac{9}{2}}+c}\);\({\frac{7\cdot x^{\frac{5}{2}}}{2}}\);\({\frac{9\cdot x^{\frac{9}{2}}}{2}+c}\),2/9*x^(9/2)+c,score,1.0,# = 1 | ATInt_true. | prt1-1-T,253372515,\(\int{\frac{8}{x^{\frac{11}{2}}}} dx\),c-16/(9*x^(9/2)),\({-\frac{16}{9\cdot x^{\frac{9}{2}}}}\);\({-\frac{8}{x^{\frac{11}{2}}}}\);\({\frac{16}{9\cdot x^{\frac{9}{2}}}+c}\);\({-\frac{44}{x^{\frac{13}{2}}}}\),-16/9*x^(-9/2)+c,score,1.0,# = 1 | ATInt_true. | prt1-1-T,384119,\(\int{{\left(3-3\cdot z\right)}^{11}} d{z}\),c-(3-3*z)^12/36,\({-33\cdot {\left(3-3\cdot z\right)}^{10}}\);\({\frac{u^{11}+1}{12}}\),-1/36*(3-3*z)^12+c,score,1,# = 1 | prt1-1-T,386479,"\(\int{\frac{2\,x}{{\left(x^2-3\right)}^{\frac{1}{9}}}} dx\)",(9*(x^2-3)^(8/9))/8+c,"\({\frac{9\,{\left(x^2-3\right)}^{\frac{8}{9}}}{8}}\);\({\frac{u^{10}}{100}+c}\);\({\frac{2}{{\left(x^2-3\right)}^{\frac{1}{9}}}-\frac{4\,x^2}{9\,{\left(x^2-3\right)}^{\frac{10}{9}}}}\)",9/8*(x^2-3)^(8/9)+c,score,1.0,# = 1 | ATInt_true. | prt1-1-T,0,0,-1,-1,-1,-1
T1560,user529,10-11-22 11:33,10-11-22 12:24,51 mins 58 secs,4.0,981521,\(\int{\frac{10}{z}} d{a}\),10*log(abs(z))+c,\({10\cdot \ln \left( \left| z\right| \right)}\),10*log(|z|)+c,score,1,# = 1 | prt1-1-T,992662,\({{\left(4\cdot x+4\right)}^6}\),(4*x+4)^7/28+c,\({\frac{{\left(4\cdot x+4\right)}^7}{28}}\);\({\frac{7\cdot {\left(4\cdot x+4\right)}^7}{6}+c}\);\({\frac{7\cdot {\left(4\cdot x+4\right)}^7}{4}+c}\),4096/7*x^7+4096*x^6+12288*x^5+20480*x^4+20480*x^3+12288*x^2+4096*x+ c,score,1,# = 1 | ATInt_true. | prt1-1-T,826591576,\(\int{\sqrt{x}} dx\),(2*x^(3/2))/3+c,\({\frac{2\cdot x^{\frac{3}{2}}}{3}}\);\({x^{\frac{3}{2}}+c}\);\({\frac{1}{2\cdot \sqrt{x}}}\);\({\frac{3\cdot x^{\frac{3}{2}}}{2}+c}\),2/3*x^(3/2)+c,score,1.0,# = 1 | ATInt_true. | prt1-1-T,633651299,\(\int{\frac{9}{x^{\frac{7}{2}}}} dx\),c-18/(5*x^(5/2)),\({-\frac{18}{5\cdot x^{\frac{5}{2}}}}\);\({-\frac{9}{x^{\frac{7}{2}}}}\);\({\frac{18}{5\cdot x^{\frac{5}{2}}}+c}\);\({-\frac{63}{2\cdot x^{\frac{9}{2}}}}\),-18/5*x^(-5/2)+c,score,1.0,# = 1 | ATInt_true. | prt1-1-T,115680,\(\int{{\left(1-6\cdot t\right)}^{14}} d{t}\),c-(1-6*t)^15/90,\({-84\cdot {\left(1-6\cdot t\right)}^{13}}\);\({\frac{u^{14}+1}{15}}\),-1/30*(1-6*t)^15+c,score,0,# = 0 | prt1-1-F | prt1-2-F,441136,"\(\int{\frac{5\,x}{{\left(x^2-5\right)}^{\frac{1}{6}}}} dx\)",3*(x^2-5)^(5/6)+c,"\({3\,{\left(x^2-5\right)}^{\frac{5}{6}}}\);\({\frac{u^7}{49}+c}\);\({\frac{5}{{\left(x^2-5\right)}^{\frac{1}{6}}}-\frac{5\,x^2}{3\,{\left(x^2-5\right)}^{\frac{7}{6}}}}\)",5/2*u^(5/6)+c,score,0.0,# = 0 | ATInt_generic. ATInt_var_SB_notSA. | prt1-1-F | prt1-2-F,-1,-1,-1,-1,0,0
T1561,user529,10-11-22 14:30,10-11-22 15:23,53 mins 29 secs,6.0,907862,\(\int{\frac{3}{z}} d{a}\),3*log(abs(z))+c,\({3\cdot \ln \left( \left| z\right| \right)}\),3*log(|z|)+c,score,1,# = 1 | prt1-1-T,592972,\({{\left(5\cdot x+1\right)}^6}\),(5*x+1)^7/35+c,\({\frac{{\left(5\cdot x+1\right)}^7}{35}}\);\({\frac{7\cdot {\left(5\cdot x+1\right)}^7}{6}+c}\);\({\frac{7\cdot {\left(5\cdot x+1\right)}^7}{5}+c}\),15625/7*x^7+3125*x^6+1875*x^5+625*x^4+125*x^3+15*x^2+x+c,score,1,# = 1 | ATInt_true. | prt1-1-T,532953273,\(\int{x^{\frac{2}{3}}} dx\),(3*x^(5/3))/5+c,\({\frac{3\cdot x^{\frac{5}{3}}}{5}}\);\({x^{\frac{5}{3}}+c}\);\({\frac{2}{3\cdot x^{\frac{1}{3}}}}\);\({\frac{5\cdot x^{\frac{5}{3}}}{3}+c}\),3/5*x^(5/3)+c,score,1.0,# = 1 | ATInt_true. | prt1-1-T,310194073,\(\int{\frac{7}{x^{\frac{9}{2}}}} dx\),c-2/x^(7/2),\({-\frac{2}{x^{\frac{7}{2}}}}\);\({-\frac{7}{x^{\frac{9}{2}}}}\);\({\frac{2}{x^{\frac{7}{2}}}+c}\);\({-\frac{63}{2\cdot x^{\frac{11}{2}}}}\),-2*x^(-7/2)+c,score,1.0,# = 1 | ATInt_true. | prt1-1-T,879748,\(\int{{\left(1-x\right)}^{11}} d{x}\),c-(1-x)^12/12,\({-11\cdot {\left(1-x\right)}^{10}}\);\({\frac{u^{11}+1}{12}}\),-1/12*(1-x)^12+c,score,1,# = 1 | prt1-1-T,754307,"\(\int{\frac{7\,x}{{\left(x^2-7\right)}^{\frac{1}{7}}}} dx\)",(49*(x^2-7)^(6/7))/12+c,"\({\frac{49\,{\left(x^2-7\right)}^{\frac{6}{7}}}{12}}\);\({\frac{u^8}{64}+c}\);\({\frac{7}{{\left(x^2-7\right)}^{\frac{1}{7}}}-\frac{2\,x^2}{{\left(x^2-7\right)}^{\frac{8}{7}}}}\)",49/12*(x^2-7)^(6/7)+c,score,1.0,# = 1 | ATInt_true. | prt1-1-T,-1,-1,-1,-1,-1,-1
T1562,user529,10/19/2022 17:15,10/19/2022 17:28,12 mins 38 secs,6.0,296875,\(\int{\frac{6}{p}} d{a}\),6*log(abs(p))+c,\({6\cdot \ln \left( \left| p\right| \right)}\),6* log(|p|)+c,score,1,# = 1 | prt1-1-T,477854,\({{\left(5\cdot x+9\right)}^6}\),(5*x+9)^7/35+c,\({\frac{{\left(5\cdot x+9\right)}^7}{35}}\);\({\frac{7\cdot {\left(5\cdot x+9\right)}^7}{6}+c}\);\({\frac{7\cdot {\left(5\cdot x+9\right)}^7}{5}+c}\),1/35*(5*x+9)^7+c,score,1,# = 1 | ATInt_true. | prt1-1-T,705367860,\(\int{x^{\frac{1}{3}}} dx\),(3*x^(4/3))/4+c,\({\frac{3\cdot x^{\frac{4}{3}}}{4}}\);\({x^{\frac{4}{3}}+c}\);\({\frac{1}{3\cdot x^{\frac{2}{3}}}}\);\({\frac{4\cdot x^{\frac{4}{3}}}{3}+c}\),3/4*x^(4/3)+c,score,1.0,# = 1 | ATInt_true. | prt1-1-T,28370616,\(\int{\frac{6}{x^{\frac{11}{2}}}} dx\),c-4/(3*x^(9/2)),\({-\frac{4}{3\cdot x^{\frac{9}{2}}}}\);\({-\frac{6}{x^{\frac{11}{2}}}}\);\({\frac{4}{3\cdot x^{\frac{9}{2}}}+c}\);\({-\frac{33}{x^{\frac{13}{2}}}}\),-4/3*x^(-9/2)+c,score,1.0,# = 1 | ATInt_true. | prt1-1-T,164920,\(\int{{\left(1-7\cdot x\right)}^{10}} d{x}\),c-(1-7*x)^11/77,\({-70\cdot {\left(1-7\cdot x\right)}^9}\);\({\frac{u^{10}+1}{11}}\),1/77*(-1+7*x)^11+c,score,1,# = 1 | prt1-1-T,673778,"\(\int{\frac{7\,x}{{\left(x^2-1\right)}^{\frac{1}{9}}}} dx\)",(63*(x^2-1)^(8/9))/16+c,"\({\frac{63\,{\left(x^2-1\right)}^{\frac{8}{9}}}{16}}\);\({\frac{u^{10}}{100}+c}\);\({\frac{7}{{\left(x^2-1\right)}^{\frac{1}{9}}}-\frac{14\,x^2}{9\,{\left(x^2-1\right)}^{\frac{10}{9}}}}\)",63/16*(x^2-1)^(8/9)+c,score,1.0,# = 1 | ATInt_true. | prt1-1-T,-1,-1,-1,-1,-1,-1
T1563,user530,12-02-22 11:02,12-02-22 11:24,21 mins 7 secs,3.0,895711,\(\int{\frac{2}{p}} d{a}\),2*log(abs(p))+c,\({2\cdot \ln \left( \left| p\right| \right)}\),4/p^2+c,score,0,# = 0 | prt1-1-F | prt1-2-F,235702,\({{\left(2\cdot x+3\right)}^4}\),(16*x^5)/5+24*x^4+72*x^3+108*x^2+81*x+c,\({\frac{16\cdot x^5}{5}+24\cdot x^4+72\cdot x^3+108\cdot x^2+81\cdot x}\);\({\frac{5\cdot {\left(2\cdot x+3\right)}^5}{4}+c}\);\({\frac{5\cdot {\left(2\cdot x+3\right)}^5}{2}+c}\),((2*x+3)^5)/10+c,score,1,# = 1 | ATInt_true. | prt1-1-T,591841338,\(\int{x^{\frac{5}{4}}} dx\),(4*x^(9/4))/9+c,\({\frac{4\cdot x^{\frac{9}{4}}}{9}}\);\({x^{\frac{9}{4}}+c}\);\({\frac{5\cdot x^{\frac{1}{4}}}{4}}\);\({\frac{9\cdot x^{\frac{9}{4}}}{4}+c}\),4*x^(9/4)/9+c,score,1.0,# = 1 | ATInt_true. | prt1-1-T,1883647721,\(\int{\frac{5}{x^{\frac{3}{2}}}} dx\),c-10/sqrt(x),\({-\frac{10}{\sqrt{x}}}\);\({-\frac{5}{x^{\frac{3}{2}}}}\);\({\frac{10}{\sqrt{x}}+c}\);\({-\frac{15}{2\cdot x^{\frac{5}{2}}}}\),5*x^(1/2)/1/2+c,score,0.0,# = 0 | ATInt_generic. | prt1-1-F | prt1-2-F | prt1-3-F | prt1-4-F | prt1-5-F,697645,\(\int{{\left(3\cdot t+5\right)}^{11}} d{t}\),(3*t+5)^12/36+c,\({33\cdot {\left(3\cdot t+5\right)}^{10}}\);\({\frac{u^{11}+1}{12}}\),(3*t+5)^12/36+c,score,1,# = 1 | prt1-1-T,590508,"\(\int{\frac{7\,x}{{\left(x^2-6\right)}^{\frac{1}{9}}}} dx\)",(63*(x^2-6)^(8/9))/16+c,"\({\frac{63\,{\left(x^2-6\right)}^{\frac{8}{9}}}{16}}\);\({\frac{u^{10}}{100}+c}\);\({\frac{7}{{\left(x^2-6\right)}^{\frac{1}{9}}}-\frac{14\,x^2}{9\,{\left(x^2-6\right)}^{\frac{10}{9}}}}\)",,blank,0.0,!,0,-1,-1,0,-1,-1
T1564,user530,12-02-22 11:27,12-02-22 11:39,11 mins 27 secs,5.0,936912,\(\int{\frac{12}{y}} d{a}\),12*log(abs(y))+c,\({12\cdot \ln \left( \left| y\right| \right)}\),12*log(abs(y))+c,score,1,# = 1 | prt1-1-T,866856,\({{\left(10\cdot x+3\right)}^5}\),(50000*x^6)/3+30000*x^5+22500*x^4+9000*x^3+2025*x^2+243*x+c,\({\frac{50000\cdot x^6}{3}+30000\cdot x^5+22500\cdot x^4+9000\cdot x^3+2025\cdot x^2+243\cdot x}\);\({\frac{6\cdot {\left(10\cdot x+3\right)}^6}{5}+c}\);\({\frac{3\cdot {\left(10\cdot x+3\right)}^6}{5}+c}\),(10*(x)+3)^6/60+c,score,1,# = 1 | ATInt_true. | prt1-1-T,1124130496,\(\int{x^{\frac{7}{8}}} dx\),(8*x^(15/8))/15+c,\({\frac{8\cdot x^{\frac{15}{8}}}{15}}\);\({x^{\frac{15}{8}}+c}\);\({\frac{7}{8\cdot x^{\frac{1}{8}}}}\);\({\frac{15\cdot x^{\frac{15}{8}}}{8}+c}\),8*x^(15/8)/15+c,score,1.0,# = 1 | ATInt_true. | prt1-1-T,1073098011,\(\int{\frac{6}{x^{\frac{3}{2}}}} dx\),c-12/sqrt(x),\({-\frac{12}{\sqrt{x}}}\);\({-\frac{6}{x^{\frac{3}{2}}}}\);\({\frac{12}{\sqrt{x}}+c}\);\({-\frac{9}{x^{\frac{5}{2}}}}\),-12*x^(-1/2)+c,score,1.0,# = 1 | ATInt_true. | prt1-1-T,929588,\(\int{{\left(8\cdot x+3\right)}^{11}} d{x}\),(8*x+3)^12/96+c,\({88\cdot {\left(8\cdot x+3\right)}^{10}}\);\({\frac{u^{11}+1}{12}}\),(8*x+3)^12/96+c,score,1,# = 1 | prt1-1-T,900948,"\(\int{\frac{2\,x}{{\left(x^2-1\right)}^{\frac{1}{7}}}} dx\)",(7*(x^2-1)^(6/7))/6+c,"\({\frac{7\,{\left(x^2-1\right)}^{\frac{6}{7}}}{6}}\);\({\frac{u^8}{64}+c}\);\({\frac{2}{{\left(x^2-1\right)}^{\frac{1}{7}}}-\frac{4\,x^2}{7\,{\left(x^2-1\right)}^{\frac{8}{7}}}}\)",(7*(x^2 - 1)^6/7)/6+c,score,0.0,# = 0 | ATInt_generic. | prt1-1-F | prt1-2-F,-1,-1,-1,-1,-1,0
T1565,user531,10-10-22 15:13,10-10-22 15:47,33 mins 50 secs,0.0,554968,\(\int{\frac{15}{y}} d{a}\),15*log(abs(y))+c,\({15\cdot \ln \left( \left| y\right| \right)}\),15,valid,0,!,777101,\({{\left(3\cdot x+9\right)}^6}\),(3*x+9)^7/21+c,\({\frac{{\left(3\cdot x+9\right)}^7}{21}}\);\({\frac{7\cdot {\left(3\cdot x+9\right)}^7}{6}+c}\);\({\frac{7\cdot {\left(3\cdot x+9\right)}^7}{3}+c}\),1/7*(3*x+9)^7 *3*x,score,0,# = 0 | ATInt_generic. | prt1-1-F | ATInt_generic. | prt1-2-F | ATInt_generic. | prt1-3-F | ATInt_generic. | prt1-4-F | ATInt_generic. | prt1-5-F,1555263758,\(\int{x^{\frac{7}{2}}} dx\),(2*x^(9/2))/9+c,\({\frac{2\cdot x^{\frac{9}{2}}}{9}}\);\({x^{\frac{9}{2}}+c}\);\({\frac{7\cdot x^{\frac{5}{2}}}{2}}\);\({\frac{9\cdot x^{\frac{9}{2}}}{2}+c}\),(x*9/2)/9/2,valid,0.0,!,1646910779,\(\int{\frac{10}{x^{\frac{5}{2}}}} dx\),c-20/(3*x^(3/2)),\({-\frac{20}{3\cdot x^{\frac{3}{2}}}}\);\({-\frac{10}{x^{\frac{5}{2}}}}\);\({\frac{20}{3\cdot x^{\frac{3}{2}}}+c}\);\({-\frac{25}{x^{\frac{7}{2}}}}\),10,valid,0.0,!,909834,\(\int{{\left(3-5\cdot z\right)}^{12}} d{z}\),c-(3-5*z)^13/65,\({-60\cdot {\left(3-5\cdot z\right)}^{11}}\);\({\frac{u^{12}+1}{13}}\),1/65*(5*z-3),score,0,# = 0 | prt1-1-F | prt1-2-F,964610,"\(\int{\frac{7\,x}{{\left(x^2-6\right)}^{\frac{1}{5}}}} dx\)",(35*(x^2-6)^(4/5))/8+c,"\({\frac{35\,{\left(x^2-6\right)}^{\frac{4}{5}}}{8}}\);\({\frac{u^6}{36}+c}\);\({\frac{7}{{\left(x^2-6\right)}^{\frac{1}{5}}}-\frac{14\,x^2}{5\,{\left(x^2-6\right)}^{\frac{6}{5}}}}\)",7*x,score,0.0,# = 0 | ATInt_generic. | prt1-1-F | prt1-2-F,0,0,0,0,0,0
